CC,defaultDescription,conceptID
(R)-SIDED EAR INJ,R Ear injury,2999009-R
(R)-SIDED EAR INJURY,R Ear injury,2999009-R
(R)-SIDED EAR LAC,R Ear Laceration,283361008-R
(R)-SIDED EAR LACERATION,R Ear Laceration,283361008-R
(R)-SIDED EAR PAIN,R Ear pain,16001004-R
(R)-SIDED EAR SWELLING,R Ear swelling,300874009-R
(R)-SIDED EARACHE,R Ear pain,16001004-R
(R)-SIDED EBLOW FX,R Elbow fracture,309464009-R
(R)-SIDED ELBOW BURN,R Elbow burn,18084001-R
(R)-SIDED ELBOW CRUSH INJ,R Elbow crush injury,5450005-R
(R)-SIDED ELBOW CRUSH INJURY,R Elbow crush injury,5450005-R
(R)-SIDED ELBOW FRACTURE,R Elbow fracture,309464009-R
(R)-SIDED ELBOW FX,R Elbow fracture,309464009-R
(R)-SIDED ELBOW LAC,R Elbow laceration,283370006-R
(R)-SIDED ELBOW LACERATION,R Elbow laceration,283370006-R
(R)-SIDED ELBOW PAIN,R Elbow pain,74323005-R
(R)-SIDED EPISTAXIS,R Epistaxis,249366005-R
(R)-SIDED EPISTAXSIS,R Epistaxis,249366005-R
(R)-SIDED EYE BURN,R Eye burn,274205003-R
(R)-SIDED EYE DISCHARGE,R Eye discharge,246679005-R
(R)-SIDED EYE EVAL,R Eye eval,118235002-R
(R)-SIDED EYE FINDING,R Eye eval,118235002-R
(R)-SIDED EYE FOREIGN BODY SENSATION,R Eye foreign body sensation,3283003-R
(R)-SIDED EYE PAIN,R Eye pain,41652007-R
(R)-SIDED EYE REDNESS,R Eye redness,246676003-R
(R)-SIDED EYE SWELLING,R Eye swelling,9404003-R
(R)-SIDED EYELID ABSCESS,R Eyelid abscess,76126009-R
(R)-SIDED EYELID LAC,R Eyelid laceration,231816006-R
(R)-SIDED EYELID LACERATION,R Eyelid laceration,231816006-R
(R)-SIDED FACE INJ,R Facial injury,125593007-R
(R)-SIDED FACE INJURY,R Facial injury,125593007-R
(R)-SIDED FACE NUMBNESS,R Facial numbness,309557009-R
(R)-SIDED FACE PAIN,R Facial pain,95668009-R
(R)-SIDED FACIAL DROOP,R Facial droop,95667004-R
(R)-SIDED FACIAL INJ,R Facial injury,125593007-R
(R)-SIDED FACIAL INJURY,R Facial injury,125593007-R
(R)-SIDED FACIAL LAC,R Facial laceration,370247008-R
(R)-SIDED FACIAL LACERATION,R Facial laceration,370247008-R
(R)-SIDED FACIAL NUMBNESS,R Facial numbness,309557009-R
(R)-SIDED FACIAL PAIN,R Facial pain,95668009-R
(R)-SIDED FACIAL SWELLING,R Facial swelling,278528006-R
(R)-SIDED FEET PAIN,R Foot pain,47933007-R
(R)-SIDED FEMER FX,R Femur fracture,71620000-R
(R)-SIDED FEMUR FRACTURE,R Femur fracture,71620000-R
(R)-SIDED FEMUR FX,R Femur fracture,71620000-R
(R)-SIDED FIBULA FRACTURE,R Fibula fracture,75591007-R
(R)-SIDED FIBULA FX,R Fibula fracture,75591007-R
(R)-SIDED FINGER ABSCESS,R Finger abscess,21092002-R
(R)-SIDED FINGER BURN,R Finger burn,82057004-R
(R)-SIDED FINGER CRUSH INJ,R Finger crush injury,10380004-R
(R)-SIDED FINGER CRUSH INJURY,R Finger crush injury,10380004-R
(R)-SIDED FINGER FRACTURE,R Finger fracture,18171007-R
(R)-SIDED FINGER FX,R Finger fracture,18171007-R
(R)-SIDED FINGER INJ,R Finger injury,52011008-R
(R)-SIDED FINGER INJURY,R Finger injury,52011008-R
(R)-SIDED FINGER LAC,R Finger laceration,274172008-R
(R)-SIDED FINGER LACERATION,R Finger laceration,274172008-R
(R)-SIDED FINGER NUMB,R Finger numb,309536001-R
(R)-SIDED FINGER NUMBNESS,R Finger numb,309536001-R
(R)-SIDED FINGER PAIN,R Finger pain,18876004-R
(R)-SIDED FINGER REDNESS,R Finger redness,f178d592c5ea11e4b987525400010026-R
(R)-SIDED FINGER SWELLING,R Finger swelling,299060006-R
(R)-SIDED FINGER TENDON LAC,R Finger tendon laceration,446313009-R
(R)-SIDED FINGER TENDON LACERATION,R Finger tendon laceration,446313009-R
(R)-SIDED FLANK ABSCESS,R Flank abscess,65967008-R
(R)-SIDED FLANK PAIN,R Flank pain,247355005-R
(R)-SIDED FOOT ABSCESS,R Foot abscess,301706005-R
(R)-SIDED FOOT BURN,R Foot burn,11980003-R
(R)-SIDED FOOT CRUSH INJ,R Foot crush injury,43422002-R
(R)-SIDED FOOT CRUSH INJURY,R Foot crush injury,43422002-R
(R)-SIDED FOOT EDEMA,R Pedal edema,102576009-R
(R)-SIDED FOOT FRACTURE,R Foot fracture,15574005-R
(R)-SIDED FOOT FX,R Foot fracture,15574005-R
(R)-SIDED FOOT INJ,R Foot injury,125604000-R
(R)-SIDED FOOT INJURY,R Foot injury,125604000-R
(R)-SIDED FOOT LAC,R Foot laceration,284551006-R
(R)-SIDED FOOT LACERATION,R Foot laceration,284551006-R
(R)-SIDED FOOT NUMBNESS,R Foot numbness,309538000-R
(R)-SIDED FOOT PAIN,R Foot pain,47933007-R
(R)-SIDED FOOT PARESTHESIA,R Foot paresthesia,309087008-R
(R)-SIDED FOOT REDNESS,R Foot redness,d6f96bc0c73711e4b8b2525400010026-R
(R)-SIDED FOOT SWELLING,R Foot swelling,297142003-R
(R)-SIDED FOOT ULCER,R Foot ulcer,95345008-R
(R)-SIDED FOREARM ABSCESS,R Forearm abscess,58964002-R
(R)-SIDED FOREARM BURN,R Forearm burn,80827001-R
(R)-SIDED FOREARM CRUSH INJ,R Forearm crush injury,111693009-R
(R)-SIDED FOREARM CRUSH INJURY,R Forearm crush injury,111693009-R
(R)-SIDED FOREARM FRACTURE,R Forearm fracture,65966004-R
(R)-SIDED FOREARM FX,R Forearm fracture,65966004-R
(R)-SIDED FOREARM INJ,R Forearm injury,125597008-R
(R)-SIDED FOREARM INJURY,R Forearm injury,125597008-R
(R)-SIDED FOREARM LAC,R Forearm laceration,283371005-R
(R)-SIDED FOREARM LACERATION,R Forearm laceration,283371005-R
(R)-SIDED FOREARM PAIN,R Forearm pain,444899003-R
(R)-SIDED FOREHEAD LAC,R Forehead laceration,283359004-R
(R)-SIDED FOREHEAD LACERATION,R Forehead laceration,283359004-R
(R)-SIDED FRACTURE OF SCAPULA,R Fracture of scapula,9682006-R
(R)-SIDED FX OF SCAPULA,R Fracture of scapula,9682006-R
(R)-SIDED GENERAL WEAKNESS,R Weakness,26544005-R
(R)-SIDED GENERALIZED WEAKNESS,R Weakness,26544005-R
(R)-SIDED GINGIVAE LAC,R Gum laceration,286622004-R
(R)-SIDED GINGIVAE LACERATION,R Gum laceration,286622004-R
(R)-SIDED GLUTEAL ABSCESS,R Gluteal abscess,64576003-R
(R)-SIDED GROIN ABSCESS,R Groin abscess,79216009-R
(R)-SIDED GROIN LAC,R Groin laceration,283382002-R
(R)-SIDED GROIN LACERATION,R Groin laceration,283382002-R
(R)-SIDED GROIN PAIN,R Inguinal pain,102570003-R
(R)-SIDED GUM LAC,R Gum laceration,286622004-R
(R)-SIDED GUM LACERATION,R Gum laceration,286622004-R
(R)-SIDED H/A,R Headache,25064002-R
(R)-SIDED HA,R Headache,25064002-R
(R)-SIDED HA - HEADACHE,R Headache,25064002-R
(R)-SIDED HAND ABSCESS ,R Hand abscess ,3633001-R
(R)-SIDED HAND BURN,R Hand burn,14893008-R
(R)-SIDED HAND CRUSH INJ,R Hand crush injury,50793006-R
(R)-SIDED HAND CRUSH INJURY,R Hand crush injury,50793006-R
(R)-SIDED HAND FRACTURE,R Hand fracture,20511007-R
(R)-SIDED HAND FX,R Hand fracture,20511007-R
(R)-SIDED HAND INJ,R Hand injury,125599006-R
(R)-SIDED HAND INJURY,R Hand injury,125599006-R
(R)-SIDED HAND LAC,R Hand laceration,284549007-R
(R)-SIDED HAND LACERATION,R Hand laceration,284549007-R
(R)-SIDED HAND LACS,R Hand laceration,284549007-R
(R)-SIDED HAND NUMBNESS,R Hand numbness,309521004-R
(R)-SIDED HAND PAIN,R Hand pain,53057004-R
(R)-SIDED HAND REDNESS,R Hand redness,098fe948c5e811e4899b525400010026-R
(R)-SIDED HAND SWELLING,R Hand swelling,299037003-R
(R)-SIDED HAND TENDON INJ,R Hand tendon injury,262971000-R
(R)-SIDED HAND TENDON INJURY,R Hand tendon injury,262971000-R
(R)-SIDED HAND WEAKNESS,R Hand weakness,298283006-R
(R)-SIDED HANDPAIN,R Hand pain,53057004-R
(R)-SIDED HEAD ACHE,R Headache,25064002-R
(R)-SIDED HEAD PAIN,R Headache,25064002-R
(R)-SIDED HEADACHE,R Headache,25064002-R
(R)-SIDED HEADACHES,R Headache,25064002-R
(R)-SIDED HEARLING LOSS,R Hearling loss,103276001-R
(R)-SIDED HEEL ABSCESS,R Heel abscess,91541006-R
(R)-SIDED HEEL FX,R Calcaneus fx,263247007-R
(R)-SIDED HEEL LAC,R Heel laceration,283395007-R
(R)-SIDED HEEL LACERATION,R Heel laceration,283395007-R
(R)-SIDED HEEL PAIN,R Heel pain,2733002-R
(R)-SIDED HEEL ULCER,R Heel ulcer,301022003-R
(R)-SIDED HIP ABSCESS,R Hip abscess,736004-R
(R)-SIDED HIP BURN,R Hip burn,284226006-R
(R)-SIDED HIP CRUSH INJ,R Hip crush injury,11730002-R
(R)-SIDED HIP CRUSH INJURY,R Hip crush injury,11730002-R
(R)-SIDED HIP FRACTURE,R Hip fracture,263225007-R
(R)-SIDED HIP FX,R Hip fracture,263225007-R
(R)-SIDED HIP INJ,R Hip injury,125600009-R
(R)-SIDED HIP INJURY,R Hip injury,125600009-R
(R)-SIDED HIP LAC,R Hip laceration,283384001-R
(R)-SIDED HIP LACERATION,R Hip laceration,283384001-R
(R)-SIDED HIP PAIN,R Hip pain,49218002-R
(R)-SIDED HUMERUS FRACTURE,R Humerus fracture,66308002-R
(R)-SIDED HUMERUS FX,R Humerus fracture,66308002-R
(R)-SIDED INGUINAL PAIN,R Inguinal pain,102570003-R
(R)-SIDED JAW PAIN,R Jaw pain,274667000-R
(R)-SIDED KNEE BURN,R Knee burn,19684007-R
(R)-SIDED KNEE CRUSH INJ,R Knee crush injury,38128008-R
(R)-SIDED KNEE CRUSH INJURY,R Knee crush injury,38128008-R
(R)-SIDED KNEE INJ,R Knee injury,125601008-R
(R)-SIDED KNEE INJURY,R Knee injury,125601008-R
(R)-SIDED KNEE LAC,R Knee laceration,283386004-R
(R)-SIDED KNEE LACERATION,R Knee laceration,283386004-R
(R)-SIDED KNEE PAIN,R Knee pain,30989003-R
(R)-SIDED KNEE SWELLING,R Knee swelling,248491001-R
(R)-SIDED LABIAL TEAR,R Labial tear,249221003-R
(R)-SIDED LBP,R Lower back pain,279039007-R
(R)-SIDED LBP - LOW BACK PAIN,R Lower back pain,279039007-R
(R)-SIDED LE CELLULITIS,R Leg cellulitis,449710006-R
(R)-SIDED LE DVT,R Leg DVT,404223003-R
(R)-SIDED LE EDEMA,R Leg swelling,449614009-R
(R)-SIDED LE INJ,R Leg injury,127279002-R
(R)-SIDED LE INJURY,R Leg injury,127279002-R
(R)-SIDED LE LAC,R Leg laceration,283357002-R
(R)-SIDED LE LACERATION,R Leg laceration,283357002-R
(R)-SIDED LE NUMBNESS,R Leg numbness,309537005-R
(R)-SIDED LE PAIN,R Leg pain,10601006-R
(R)-SIDED LE PARESTHESIA,R Lower extremity paresthesia,429783005-R
(R)-SIDED LE REDNESS,R Leg redness,02192a6cc5e811e4a5e0525400010026-R
(R)-SIDED LE SWELLING,R Leg swelling,449614009-R
(R)-SIDED LE WEAKNESS,R Leg weakness,102568007-R
(R)-SIDED LEG ABSCESS,R Leg abscess,315596001-R
(R)-SIDED LEG BURN,R Leg burn,84677008-R
(R)-SIDED LEG CELLULITIS,R Leg cellulitis,449710006-R
(R)-SIDED LEG CRUSH INJ,R Leg crush injury,39595001-R
(R)-SIDED LEG CRUSH INJURY,R Leg crush injury,39595001-R
(R)-SIDED LEG DVT,R Leg DVT,404223003-R
(R)-SIDED LEG INJ,R Leg injury,127279002-R
(R)-SIDED LEG INJURY,R Leg injury,127279002-R
(R)-SIDED LEG LAC,R Leg laceration,283357002-R
(R)-SIDED LEG LACERATION,R Leg laceration,283357002-R
(R)-SIDED LEG NUMBNESS,R Leg numbness,309537005-R
(R)-SIDED LEG PAIN,R Leg pain,10601006-R
(R)-SIDED LEG PARESTHESIA,R Lower extremity paresthesia,429783005-R
(R)-SIDED LEG REDNESS,R Leg redness,02192a6cc5e811e4a5e0525400010026-R
(R)-SIDED LEG SWELLING,R Leg swelling,449614009-R
(R)-SIDED LEG WEAKNESS,R Leg weakness,102568007-R
(R)-SIDED LIP LAC,R Lip laceration,283363006-R
(R)-SIDED LIP LACERATION,R Lip laceration,283363006-R
(R)-SIDED LIP SWELLING,R Lip swelling,163140002-R
(R)-SIDED LOW BACK PAIN,R Lower back pain,279039007-R
(R)-SIDED LOWER BACK PAIN,R Lower back pain,279039007-R
(R)-SIDED LOWER EXTREMITY EDEMA,R Leg swelling,449614009-R
(R)-SIDED LOWER EXTREMITY INJ,R Leg injury,127279002-R
(R)-SIDED LOWER EXTREMITY INJURY,R Leg injury,127279002-R
(R)-SIDED LOWER EXTREMITY NUMBNESS,R Leg numbness,309537005-R
(R)-SIDED LOWER EXTREMITY PAIN,R Leg pain,10601006-R
(R)-SIDED LOWER EXTREMITY PARESTHESIA,R Lower extremity paresthesia,429783005-R
(R)-SIDED LOWER EXTREMITY SWELLING,R Leg swelling,449614009-R
(R)-SIDED LOWER EXTREMITY WEAKNESS,R Leg weakness,102568007-R
(R)-SIDED LOWER LEG BURN,R Lower leg burn,37696000-R
(R)-SIDED LOWER LEG CRUSH INJ,R Lower leg crush injury,40874009-R
(R)-SIDED LOWER LEG CRUSH INJURY,R Lower leg crush injury,40874009-R
(R)-SIDED LOWER LEG INJ,R Lower leg injury,125602001-R
(R)-SIDED LOWER LEG INJURY,R Lower leg injury,125602001-R
(R)-SIDED LOWER LEG LAC,R Lower leg laceration,283387008-R
(R)-SIDED LOWER LEG LACERATION,R Lower leg laceration,283387008-R
(R)-SIDED LOWER LIMB ABSCESS,R Leg abscess,315596001-R
(R)-SIDED LOWER LIMB BURN,R Leg burn,84677008-R
(R)-SIDED MASTITIS,R Mastitis,45198002-R
(R)-SIDED MAXILLARY FRACTURE,R Maxillary fracture,263156006-R
(R)-SIDED MAXILLARY FX,R Maxillary fracture,263156006-R
(R)-SIDED MIGRAINE,R Headache,25064002-R
(R)-SIDED NAIL BED LAC,R Nail bed lac,446314003-R
(R)-SIDED NAIL BED LACERATION,R Nail bed lac,446314003-R
(R)-SIDED NAILBED LAC,R Nail bed lac,446314003-R
(R)-SIDED NAILBED LACERATION,R Nail bed lac,446314003-R
(R)-SIDED NASAL FOREIGN BODY,R Nose foriegn body,74699008-R
(R)-SIDED NECK PAIN,R Neck pain,81680005-R
(R)-SIDED NIPPLE ABSCESS,R Nipple abscess,237439001-R
(R)-SIDED NIPPLE PAIN,R Nipple pain,225573003-R
(R)-SIDED NOSE BLEED,R Epistaxis,249366005-R
(R)-SIDED NOSE BLEEDING,R Epistaxis,249366005-R
(R)-SIDED NOSE FORIEGN BODY,R Nose foriegn body,74699008-R
(R)-SIDED NOSE LAC,R Nose laceration,373602003-R
(R)-SIDED NOSE LACERATION,R Nose laceration,373602003-R
(R)-SIDED NOSEBLEED,R Epistaxis,249366005-R
(R)-SIDED NUMBESS,R Numbness,44077006-R
(R)-SIDED NUMBNESS,R Numbness,44077006-R
(R)-SIDED OPEN HIP FRACTURE,R Open hip fracture,361118003-R
(R)-SIDED OPEN HIP FX,R Open hip fracture,361118003-R
(R)-SIDED OPEN TIB FIB FRACTURE,R Open Tib/Fib fracture,414943006-R
(R)-SIDED OPEN TIB FIB FX,R Open Tib/Fib fracture,414943006-R
(R)-SIDED OPEN TIB/FIB FRACTURE,R Open Tib/Fib fracture,414943006-R
(R)-SIDED OPEN TIB/FIB FX,R Open Tib/Fib fracture,414943006-R
(R)-SIDED ORBITAL FLOOR FRACTURE,R Orbital floor fracture,207787008-R
(R)-SIDED ORBITAL FLOOR FX,R Orbital floor fracture,207787008-R
(R)-SIDED ORBITAL FRACTURE,R Orbital fracture,95851007-R
(R)-SIDED ORBITAL FX,R Orbital fracture,95851007-R
(R)-SIDED ORBITAL SWELLING,R Eye swelling,9404003-R
(R)-SIDED PAIN,R Pain,22253000-R
(R)-SIDED PATELLA FRACTURE,R Patella fracture,51037009-R
(R)-SIDED PATELLA FX,R Patella fracture,51037009-R
(R)-SIDED PEDAL EDEMA,R Pedal edema,102576009-R
(R)-SIDED PELVIC LAC,R Pelvic laceration,283379007-R
(R)-SIDED PELVIC LACERATION,R Pelvic laceration,283379007-R
(R)-SIDED PELVIC PAIN,R Pelvic pain,30473006-R
(R)-SIDED PLEURAL EFFUSION,R Pleural effusion,60046008-R
(R)-SIDED PNEUMOTHORAX,R Pneumothorax,36118008-R
(R)-SIDED PNEUMOTHRAX,R Pneumothorax,36118008-R
(R)-SIDED POSITIVE DVT,R DVT,128053003-R
(R)-SIDED PTX,R Pneumothorax,36118008-R
(R)-SIDED PULSELESS FOOT,R Pulseless foot,422163002-R
(R)-SIDED RADIUS FRACTURE,R Radius Fracture,12676007-R
(R)-SIDED RADIUS FX,R Radius Fracture,12676007-R
(R)-SIDED RIB FRACTURE,R Rib fracture,33737001-R
(R)-SIDED RIB FX,R Rib fracture,33737001-R
(R)-SIDED RIB INJ,R Rib Injury,282770002-R
(R)-SIDED RIB INJURY,R Rib Injury,282770002-R
(R)-SIDED RIB PAIN,R Rib pain,297217002-R
(R)-SIDED RING STUCK,R Ring stuck on finger,248406004-R
(R)-SIDED RING STUCK ON FINGER,R Ring stuck on finger,248406004-R
(R)-SIDED RING TIGHT ON FINGERS,R Ring stuck on finger,248406004-R
(R)-SIDED S/P CHEST PAIN,R Chest pain,29857009-R
(R)-SIDED S/P CP,R Chest pain,29857009-R
(R)-SIDED SCAPULA PAIN,R Scapula pain,20793008-R
(R)-SIDED SCAPULAR PAIN,R Scapula pain,20793008-R
(R)-SIDED SCROTAL INJ,R Scrotal injury,282782006-R
(R)-SIDED SCROTAL INJURY,R Scrotal injury,282782006-R
(R)-SIDED SCROTUM INJ,R Scrotal injury,282782006-R
(R)-SIDED SCROTUM INJURY,R Scrotal injury,282782006-R
(R)-SIDED SCROTUM LAC,R Scrotum laceration,283954003-R
(R)-SIDED SCROTUM LACERATION,R Scrotum laceration,283954003-R
(R)-SIDED SHIN INJ,R Shin injury,282774006-R
(R)-SIDED SHIN INJURY,R Shin injury,282774006-R
(R)-SIDED SHIN LAC,R Shin laceration,283388003-R
(R)-SIDED SHIN LACERATION,R Shin laceration,283388003-R
(R)-SIDED SHOULDER ABSCESS,R Shoulder abscess,17354003-R
(R)-SIDED SHOULDER BURN,R Shoulder burn,57143002-R
(R)-SIDED SHOULDER CRUSH INJ,R Shoulder crush injury,2591000-R
(R)-SIDED SHOULDER CRUSH INJURY,R Shoulder crush injury,2591000-R
(R)-SIDED SHOULDER DISLOCATION,R Shoulder dislocation,417076003-R
(R)-SIDED SHOULDER INJ,R Shoulder injury,125594001-R
(R)-SIDED SHOULDER INJURY,R Shoulder injury,125594001-R
(R)-SIDED SHOULDER LAC,R Shoulder laceration,283367007-R
(R)-SIDED SHOULDER LACERATION,R Shoulder laceration,283367007-R
(R)-SIDED SHOULDER PAIN,R Shoulder pain,45326000-R
(R)-SIDED SOLE LAC,R Sole laceration,283394006-R
(R)-SIDED SOLE LACERATION,R Sole laceration,283394006-R
(R)-SIDED SWOLLEN FINGER,R Finger swelling,299060006-R
(R)-SIDED TENDER BREAST,R Tender breast,55222007-R
(R)-SIDED TENDER BREASTS,R Tender breast,55222007-R
(R)-SIDED TENDON LAC,R Tendon laceration,301453009-R
(R)-SIDED TENDON LACERATION,R Tendon laceration,301453009-R
(R)-SIDED TESTICLE PAIN,R Testicular pain,63901009-R
(R)-SIDED TESTICULAR ABSCESS,R Testicular abscess,95593001-R
(R)-SIDED TESTICULAR CRUSH INJ,R Testis crush injury,78198009-R
(R)-SIDED TESTICULAR CRUSH INJURY,R Testis crush injury,78198009-R
(R)-SIDED TESTICULAR PAIN,R Testicular pain,63901009-R
(R)-SIDED TESTIS ABSCESS,R Testicular abscess,95593001-R
(R)-SIDED TESTIS CRUSH INJ,R Testis crush injury,78198009-R
(R)-SIDED TESTIS CRUSH INJURY,R Testis crush injury,78198009-R
(R)-SIDED THIGH ABSCESS,R Thigh abscess,3507004-R
(R)-SIDED THIGH BURN,R Thigh burn,6132001-R
(R)-SIDED THIGH INJ,R Thigh injury,7523003-R
(R)-SIDED THIGH INJURY,R Thigh injury,7523003-R
(R)-SIDED THIGH LAC,R Thigh laceration,283385000-R
(R)-SIDED THIGH LACERATION,R Thigh laceration,283385000-R
(R)-SIDED THIGH PAIN,R Thigh pain,78514002-R
(R)-SIDED THORACIC BACK PAIN,R Upper back pain,279038004-R
(R)-SIDED THORACIC PAIN,R Upper back pain,279038004-R
(R)-SIDED THUMB BURN,R Thumb burn,64090007-R
(R)-SIDED THUMB CRUSH INJ,R Thumb crush injury,283858004-R
(R)-SIDED THUMB CRUSH INJURY,R Thumb crush injury,283858004-R
(R)-SIDED THUMB FX,R Thumb fx,274160002-R
(R)-SIDED THUMB INJ,R Thumb injury,262520005-R
(R)-SIDED THUMB INJURY,R Thumb injury,262520005-R
(R)-SIDED THUMB LAC,R Thumb laceration,274173003-R
(R)-SIDED THUMB LACERATION,R Thumb laceration,274173003-R
(R)-SIDED THUMB PAIN,R Thumb pain,300955002-R
(R)-SIDED THUMB REDNESS,R Thumb redness,e65a02c6c5ea11e4a4a5525400010026-R
(R)-SIDED TIB/FIB FRACTURE,R Tib/Fib Fracture,414293001-R
(R)-SIDED TIB/FIB FX,R Tib/Fib Fracture,414293001-R
(R)-SIDED TIBIA AND FIBULA FRACTURE,R Tib/Fib Fracture,414293001-R
(R)-SIDED TIBIA AND FIBULA FX,R Tib/Fib Fracture,414293001-R
(R)-SIDED TIBIA FRACTURE,R Tibia fracture,31978002-R
(R)-SIDED TIBIA FX,R Tibia fracture,31978002-R
(R)-SIDED TOE ABSCESS,R Toe abscess,111183001-R
(R)-SIDED TOE BURN,R Toe burn,88374002-R
(R)-SIDED TOE CRUSH INJ,R Toe crush injury,74682007-R
(R)-SIDED TOE CRUSH INJURY,R Toe crush injury,74682007-R
(R)-SIDED TOE FRACTURE,R Toe fx,21351003-R
(R)-SIDED TOE FX,R Toe fx,21351003-R
(R)-SIDED TOE LAC,R Toe laceration,284552004-R
(R)-SIDED TOE LACERATION,R Toe laceration,284552004-R
(R)-SIDED TOE NAIL BED LAC,R Toe nail bed laceration,446859003-R
(R)-SIDED TOE NAIL BED LACERATION,R Toe nail bed laceration,446859003-R
(R)-SIDED TOE NUMB,R Toe numb,309539008-R
(R)-SIDED TOE NUMBNESS,R Toe numb,309539008-R
(R)-SIDED TOE PAIN,R Toe pain,285365001-R
(R)-SIDED TOE REDNESS,R Toe redness,e98210cec5ea11e4a9a0525400010026-R
(R)-SIDED TRAUMATIC BACK/SPINE INJ,R Back pain,161891005-R
(R)-SIDED TRAUMATIC BACK/SPINE INJURY,R Back pain,161891005-R
(R)-SIDED TRUNK LAC,R Trunk laceration,283375001-R
(R)-SIDED TRUNK LACERATION,R Trunk laceration,283375001-R
(R)-SIDED UE BURN,R Arm burn,6055000-R
(R)-SIDED UE CELLULITIS,R Arm cellulitis,449671007-R
(R)-SIDED UE CRUSH INJ,R Arm crush injury,9560007-R
(R)-SIDED UE CRUSH INJURY,R Arm crush injury,9560007-R
(R)-SIDED UE DVT,R Arm DVT,128054009-R
(R)-SIDED UE FRACTURE,R Arm fracture,23406007-R
(R)-SIDED UE FX,R Arm fracture,23406007-R
(R)-SIDED UE INJ,R Arm injury,127278005-R
(R)-SIDED UE INJURY,R Arm injury,127278005-R
(R)-SIDED UE LAC,R Arm laceration,283366003-R
(R)-SIDED UE LACERATION,R Arm laceration,283366003-R
(R)-SIDED UE NUMBNESS,R Arm numbness,298753001-R
(R)-SIDED UE PAIN,R Arm pain,102556003-R
(R)-SIDED UE REDNESS,R Arm redness,0552bee6c5e811e48aee525400010026-R
(R)-SIDED UE SWELLING,R Arm swelling,449618007-R
(R)-SIDED UE WEAKNESS,R Arm weakness,6dc81860c5e611e4a6ab525400010026-R
(R)-SIDED ULNA FX,R Ulna fx,54556006-R
(R)-SIDED UPPER BACK PAIN,R Upper back pain,279038004-R
(R)-SIDED UPPER EXTREMITY BURN,R Arm burn,6055000-R
(R)-SIDED UPPER EXTREMITY INJ,R Arm injury,127278005-R
(R)-SIDED UPPER EXTREMITY INJURY,R Arm injury,127278005-R
(R)-SIDED UPPER EXTREMITY SWELLING,R Arm swelling,449618007-R
(R)-SIDED UPPER LIMB ABSECSS,R Arm abscess,315597005-R
(R)-SIDED UPPER LIMB BURN,R Arm burn,6055000-R
(R)-SIDED WEAK,R Weakness,26544005-R
(R)-SIDED WEAKNES,R Weakness,26544005-R
(R)-SIDED WEAKNESS,R Weakness,26544005-R
(R)-SIDED WRIST ABSCESS,R Wrist abscess,36281004-R
(R)-SIDED WRIST BURN,R Wrist burn,3480002-R
(R)-SIDED WRIST CRUSH INJ,R Wrist crush injury,47814001-R
(R)-SIDED WRIST CRUSH INJURY,R Wrist crush injury,47814001-R
(R)-SIDED WRIST INJ,R Wrist injury,125598003-R
(R)-SIDED WRIST INJURY,R Wrist injury,125598003-R
(R)-SIDED WRIST LAC,R Wrist laceration,283372003-R
(R)-SIDED WRIST LACERATION,R Wrist laceration,283372003-R
(R)-SIDED WRIST PAIN,R Wrist pain,56608008-R
#NAME?,Influenza,6142004
#NAME?,DVT,128053003
#NAME?,SI,6471006
3RD DEGREE AVB,Complete heart block,164906009
3RD DEGREE HEART BLOCK,Complete heart block,164906009
? ALLERGIC REACTION,Allergic reaction,241929008
?ALLERGIC REACTION,Allergic reaction,241929008
A-FIB,Atrial fibrillation,164889003
ABCESS,Abscess,128477000
ABDO PAIN,Abd pain,21522001
ABDOMINAL MASS/DISTENTION,Abdominal distention,60728008
ABN LABS,Abnormal labs,442096005
ABNL CT,Abnormal CT,129679001
ABNL LABS,Abnormal labs,442096005
ABNL MRI,Abnormal MRI,169083003
ABNORMAL CT SCAN,Abnormal CT,129679001
ABNORMAL ECHOCARDIOGRAM,Abnormal echo,169241000
ABNORMAL LAB VALUES,Abnormal labs,442096005
ABNORMAL STRESS TEST,Abnormal stress,439590007
ABNORMAL TTE,Abnormal echo,169241000
ACUTE PSYCHOSIS,Psychosis,280427006
AICD EVALUATION,ICD eval,7536003
AICD FIRED,ICD eval,7536003
AICD FIRED?,ICD eval,7536003
AICD FIRING,ICD eval,7536003
ALCOHOL DETOXIFICATION,EtOH detox,20093000
ALERTED MENTAL STATUS,Altered mental status,419284004
ALLERGIC RX,Allergic reaction,241929008
ALLERGIC RXN,Allergic reaction,241929008
ALT MS,Altered mental status,419284004
ALTER MENTAL STATUS,Altered mental status,419284004
ALTERED M/S,Altered mental status,419284004
ALTERED MS,Altered mental status,419284004
AMS,Altered mental status,419284004
ANEURYSM OF AORTA,Aortic aneurysm,67362008
ANKLE INJ,Ankle injury,125603006
ANXIOUS,Anxiety,48694002
APPARENTLY DRUNK,ETOH,25702006
ARF,Acute renal failure,14669001
ARM INJ,Arm injury,127278005
ARM LAC,Arm laceration,283366003
ASCITIS,Ascites,389026000
ASSAULTED,Assault,52684005
ASTHMA,Asthma exacerbation,281239006
B +DVT,B DVT,128053003-B
B ANKLE INJ,B Ankle injury,125603006-B
B ARM INJ,B Arm injury,127278005-B
B ARM LAC,B Arm laceration,283366003-B
B BACKPAIN,B Back pain,161891005-B
B C/P,B Chest pain,29857009-B
